Year,Internet_Users,
2017,3795770400
2016,3424971237
2015,3185996155
2014,2956385569
2013,2728428107
2012,2494736248
2011,2231957359
2010,2023202974
2009,1766403814
2008,1575067520
2007,1373226988
2006,1162916818
2005,1030101289
2004,913327771
2003,781435983
2002,665065014
2001,502292245
2000,414794957
1999,281537652
1998,188507628
1997,120992212
1996,77583866
1995,44866595
1994,25437639
